youtube	NnK4dTFJaE0	37	Cat April Watters	Cat April Watters
youtube	QoAXPXTBUrw	24	Cat April Watters	Cat April Watters
youtube	MP_eiedTAzE	18	TDP Fyp	John Kiriakou Funny moments 🤣🤣🤣
youtube	omqKumNTt74	10	Google Play Books	Google Play Books
youtube	ogmHpa7Zf54	4.2	The Global Pulse News	Pakistan's Nukes Under US Control? Ex-CIA Officer John Kiria
youtube	BZThgNB4qIc	54	العربي - أخبار	جاسوس أميركي يكشف طريقة تجنيده وخبايا مهماته السرية - جون كي
youtube	lhX9bjdYaQU	50	العربي - أخبار	كيف انتقمت سي آي إيه من ضابطها الذي فضح برنامجها للتعذيب؟ -
youtube	Et93Sc4bQWc	50	العربي - أخبار	ضابط السي آي إيه يفضح برنامج الوكالة السري للتعذيب - جون كير
youtube	BJe2KbdhFDE	47	The Insight Network	John Kiriakou The CIA Officer Who Exposed America's Torture Program
