2026-03-12	76	what should we call it	John Kiriakou and People who suck	https://anchor.fm/s/1bea3808/podcast/rss
2026-03-09	58	The Anchormen Show with Matt Gaetz	The Anchormen Show EP 105 - Spy Games w: Pearson Sharp & John Kiriakou	https://anchor.fm/s/ea4136c/podcast/rss
2026-02-27	57	The Ripple Effect Podcast	The Ripple Effect Podcast (Ex-CIA John Kiriakou | War On Whistleblowers: The High Cost of Speaking Truth To Power)	https://rvtheory6.podomatic.com/rss2.xml
2026-02-27	51	The DeVory Darkins Show	CIA Whistleblower John Kiriakou drops brutal truth about America's torture program	https://anchor.fm/s/1042dee5c/podcast/rss
2026-02-26	52	con-sara-cy theories	Episode 110: John Kiriakou on the DOAC Podcast, Part 1	https://rss.buzzsprout.com/2289560.rss
2026-02-24	65	Julian Dorey Daily	CIA Spy Believes Tucker Carlson's "Supra Gov." Theory is SPOT ON | John Kiriakou	https://feeds.megaphone.fm/QCD3891059623
2026-02-23	49	TAC Right Now	John Kiriakou on CIA Propaganda, War with Iran and Going Viral	https://amconrightnow.libsyn.com/rss
2026-02-19	78	MAD THAT w/ Harry Robinson & Carl Reigler	CIA SPY VS 9/11 | JOHN KIRIAKOU	https://feeds.acast.com/public/shows/6777d0d8598149a3f9d76129
2026-02-18	65	History Told Forward: The Stories That Shape Who We Are	John Kiriakou: Whistleblower Inside the CIA’s Torture Program	https://feeds.captivate.fm/history-told-forward/
2026-02-18	97	Lost Aux Media	Ep.083 - Who in the F*ck is John Kiriakou?	https://feed.podbean.com/LostAuxPod/feed.xml
2026-02-14	126	The Truth with John Gordon	Are Savannah Guthrie Headlines an Epstein Files Distraction? Plus: Ex-Cia Agent John Kiriakou	https://feeds.acast.com/public/shows/6895f778f9482328d0054dc9
2026-02-14	73	Unleashing Intuition Secrets	⚖️ John Kiriakou & Ian Trottier on CIA Secrets, John Brennan Allegations & High Stakes Treason | Michael Jaco	https://feed.podbean.com/michaelkjaco/feed.xml
2026-02-13	91	My Price Is My Life With James O’Keefe	John Kiriakou: Inside the CIA and the Cost of Speaking Out | My Price Is My Life Ep #22	https://feed.podbean.com/mypriceismylife/feed.xml
2026-02-10	64	Epic Real Estate Investing	EX-CIA OFFICER: Americans Have No Idea What's ACTUALLY Happening to Them | John Kiriakou	https://rss.libsyn.com/shows/32365/destinations/70728.xml
2026-02-05	59	Eric A. Cinotti: Unplugged	CIA Whistleblower John Kiriakou Exposes Post-9/11 Torture, Government Secrecy, and the Cost of Telling the Truth	https://www.spreaker.com/show/6855442/episodes/feed
