223989	61	C-SPAN	After Words with John Kiriakou (The Reluctant Spy)
484275	28	C-SPAN	The Convenient Terrorist
669442	61	C-SPAN	Project Censored - "State of the Free Press 2026"
ibhnui-G5T4	30	Lawyers' Committee for 9/11 Inquiry	Remarks by John Kiriakou, former CIA officer
8348t00ENDI	6	CODEPINK	John Kiriakou – Never Forget: 9/11 and the 20 Year War on Terror
RgZoLf-Dwpg	1	CODEPINK	John Kiriakou on Daniel Ellsberg #shorts
S7Ep15MWzdg	2	Voices of Liberty	CIA Torture Whistleblower John Kiriakou, Part 5: 'Enhanced Interrogation' and Torture
olK01DwhCkc	1	Voices of Liberty	CIA Torture Whistleblower John Kiriakou, Part 9: How to Blow the Whistle
